symbol,status,entry_date,exit_date,entry_price,exit_price,entry_price_type,exit_price_type,position_size,pnl,pnl_pct,days_held,exit_reason,error
UD.D.WEN.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-20 04:00:00+00:00,1116.3,1203.8,bid,ask,0.8958165367732689,-78.38394696766103,-7.838394696766103,7.0,stop_loss,
SB.D.CAG.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,2154.8,2051.0,bid,ask,0.46408019305736026,48.17152403935408,4.817152403935408,13.0,time_limit,
UB.D.JDUS.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,3262.0,3333.0,bid,ask,0.30656039239730226,-21.765787860208462,-2.1765787860208463,13.0,time_limit,
SH.D.WUUS.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,861.0,848.0,bid,ask,1.1614401858304297,15.098722415795587,1.5098722415795587,13.0,time_limit,
UA.D.ARDXUS.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,357.0,370.0,bid,ask,2.8011204481792715,-36.41456582633053,-3.6414565826330527,13.0,time_limit,
SH.D.UNH.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,31280.0,30249.0,bid,ask,0.0319693094629156,32.96035805626599,3.2960358056265986,13.0,time_limit,
SA.D.AGROUS.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,925.6,919.4,bid,ask,1.08038029386344,6.698357821953377,0.6698357821953377,13.0,time_limit,
UC.D.RDHLUS.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-18 04:00:00+00:00,173.0,185.0,bid,ask,5.780346820809249,-69.36416184971098,-6.9364161849710975,5.0,stop_loss,
AC.D.7552HK.DAILY.IP,SUCCESS,2025-06-15 16:00:00+00:00,2025-06-18 16:00:00+00:00,172.8,188.9,bid,ask,5.787037037037036,-93.17129629629625,-9.317129629629624,3.0,stop_loss,
SA.D.BGSUS.DAILY.IP,SUCCESS,2025-06-13 04:00:00+00:00,2025-06-26 04:00:00+00:00,434.0,435.0,bid,ask,2.304147465437788,-2.304147465437788,-0.2304147465437788,13.0,time_limit,
AJ.D.1366JT.DAILY.IP,SUCCESS,2025-06-15 15:00:00+00:00,2025-06-26 15:00:00+00:00,275.5,252.0,bid,ask,3.629764065335753,85.2994555353902,8.52994555353902,11.0,take_profit,
